"epsilon" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"1" 0 2.55546784510714 5.46089514995745 NA NA NA NA
"2" 0 2.55546784510714 5.46089514995745 NA NA NA NA
"3" 0.01 2.55369014967006 5.45148257980483 NA NA NA NA
"4" 0.02 2.55189668048526 5.44199615910364 NA NA NA NA
"5" 0.03 2.5500844772323 5.43241700992696 NA NA NA NA
"6" 0.04 2.54825321557338 5.42274363706056 NA NA NA NA
"7" 0.05 2.54640255413648 5.41297444365746 NA NA NA NA
"8" 0.06 2.54453214261166 5.40310779183497 NA NA NA NA
"9" 0.07 2.54264162098898 5.39314200087664 NA NA NA NA
"10" 0.08 2.54073062009921 5.38307534938566 NA NA NA NA
"11" 0.09 2.53879876026962 5.37290606794019 NA NA NA NA
"12" 0.1 2.53684565189798 5.3626323439884 NA NA NA NA
"13" 0.11 2.53487089398866 5.35225231386449 NA NA NA NA
"14" 0.12 2.53287407481106 5.34176406611556 NA NA NA NA
"15" 0.13 2.53085477116568 5.33116563728197 NA NA NA NA
"16" 0.14 2.52881254711688 5.32045500780225 NA NA NA NA
"17" 0.15 2.52674695489857 5.30963010651043 NA NA NA NA
"18" 0.16 2.5246575337766 5.29868880271805 NA NA NA NA
"19" 0.17 2.52254380871671 5.28762890427323 NA NA NA NA
"20" 0.18 2.52040529143237 5.27644815921831 NA NA NA NA
"21" 0.19 2.51824147889337 5.26514425114046 NA NA NA NA
"22" 0.2 2.51605185228566 5.25371479346602 NA NA NA NA
"23" 0.21 2.51383587795641 5.24215733295957 NA NA NA NA
"24" 0.22 2.51159300470467 5.23046934151568 NA NA NA NA
"25" 0.23 2.50932266467387 5.21864821663177 NA NA NA NA
"26" 0.24 2.50702427214642 5.20669127707829 NA NA NA NA
"27" 0.25 2.5046972229314 5.19459575911297 NA NA NA NA
"28" 0.26 2.50234089286117 5.18235881385966 NA NA NA NA
"29" 0.27 2.49995463705658 5.16997750072956 NA NA NA NA
"30" 0.28 2.49753779091929 5.15744879232276 NA NA NA NA
"31" 0.29 2.4950896664236 5.14476955836281 NA NA NA NA
"32" 0.3 2.49260955191447 5.13193656900549 NA NA NA NA
"33" 0.31 2.490096712677 5.11894648875974 NA NA NA NA
"34" 0.32 2.48755038822514 5.1057958731733 NA NA NA NA
"35" 0.33 2.48496979089052 5.09248115800509 NA NA NA NA
"36" 0.34 2.48235410556578 5.0789986629138 NA NA NA NA
"37" 0.35 2.47970248791815 5.06534457571868 NA NA NA NA
"38" 0.36 2.47701406257098 5.051514953721 NA NA NA NA
"39" 0.37 2.47428792303953 5.03750571801259 NA NA NA NA
"40" 0.38 2.47152312716213 5.02331263736954 NA NA NA NA
"41" 0.39 2.46871869842834 5.00893132939244 NA NA NA NA
"42" 0.4 2.46587362383502 4.99435725694478 NA NA NA NA
"43" 0.41 2.4629868488515 4.97958570228546 NA NA NA NA
"44" 0.42 2.4600572788035 4.96461177734134 NA NA NA NA
"45" 0.43 2.45708377538222 4.9494304041441 NA NA NA NA
"46" 0.44 2.45406515369317 4.93403630742375 NA NA NA NA
"47" 0.45 2.45100018059936 4.91842400474605 NA NA NA NA
"48" 0.46 2.44788757163646 4.90258779273486 NA NA NA NA
"49" 0.47 2.44472598681994 4.88652173306473 NA NA NA NA
"50" 0.48 2.44151403033149 4.87021964910967 NA NA NA NA
"51" 0.49 2.43825024513883 4.85367510249003 NA NA NA NA
"52" 0.5 2.43493310756391 4.83688137312275 NA NA NA NA
"53" 0.51 2.43156102810628 4.81983146104774 NA NA NA NA
"54" 0.52 2.42813234283038 4.80251805043049 NA NA NA NA
"55" 0.53 2.42464531057551 4.78493349884068 NA NA NA NA
"56" 0.54 2.4210981085296 4.76706982002591 NA NA NA NA
"57" 0.55 2.41748882557176 4.74891865247662 NA NA NA NA
"58" 0.56 2.41381545579317 4.73047123978961 NA NA NA NA
"59" 0.57 2.41007589620355 4.71171841051152 NA NA NA NA
"60" 0.58 2.40626793261948 4.69265053493373 NA NA NA NA
"61" 0.59 2.40238924054207 4.6732575153789 NA NA NA NA
"62" 0.6 2.39843736975711 4.65352872688521 NA NA NA NA
"63" 0.61 2.39440974055735 4.63345300601378 NA NA NA NA
"64" 0.62 2.39030362953153 4.61301858849082 NA NA NA NA
"65" 0.63 2.38611616144255 4.59221307803215 NA NA NA NA
"66" 0.64 2.38184429684738 4.57102339715674 NA NA NA NA
"67" 0.65 2.37748481965708 4.54943572900643 NA NA NA NA
"68" 0.66 2.37303432070889 4.52743546234328 NA NA NA NA
"69" 0.67 2.36848918331965 4.50500712338507 NA NA NA NA
"70" 0.68 2.36384556488498 4.4821343060347 NA NA NA NA
"71" 0.69 2.35909937748237 4.45879959282415 NA NA NA NA
"72" 0.7 2.35424626585268 4.43498446361111 NA NA NA NA
"73" 0.71 2.34928158064943 4.41066919048747 NA NA NA NA
"74" 0.72 2.34420035678116 4.38583274744455 NA NA NA NA
"75" 0.73 2.33899727556189 4.36045266291485 NA NA NA NA
"76" 0.74 2.33366663417352 4.3345048927516 NA NA NA NA
"77" 0.75 2.32820230558685 4.3079636609334 NA NA NA NA
"78" 0.76 2.3226251781953 4.28096797661149 NA NA NA NA
"79" 0.77 2.31687458072429 4.25316293900135 NA NA NA NA
"80" 0.78 2.31096898994383 4.22467538348839 NA NA NA NA
"81" 0.79 2.3049000752034 4.1954705970087 NA NA NA NA
"82" 0.8 2.29865878525211 4.16551095343114 NA NA NA NA
"83" 0.81 2.29223525954738 4.13475556112209 NA NA NA NA
"84" 0.82 2.28561872511123 4.10315985386688 NA NA NA NA
"85" 0.83 2.27879737595381 4.07067511325481 NA NA NA NA
"86" 0.84 2.27175823139089 4.03724790848103 NA NA NA NA
"87" 0.85 2.26448696845951 4.0028194346365 NA NA NA NA
"88" 0.86 2.25696772259194 3.96732472698955 NA NA NA NA
"89" 0.87 2.24918284866333 3.93069172051523 NA NA NA NA
"90" 0.88 2.2411126326036 3.89284011668215 NA NA NA NA
"91" 0.89 2.23273494023577 3.8536800057009 NA NA NA NA
"92" 0.9 2.22402478635058 3.81311017875128 NA NA NA NA
"93" 0.91 2.2149537998781 3.77101603638909 NA NA NA NA
