"c" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"1" 0.015 4.575200641491 19.7806316285467 NA NA NA NA
"2" 0.015 4.575200641491 19.7806316285467 NA NA NA NA
"3" 0.0155 4.4786703856597 18.8870629575761 NA NA NA NA
"4" 0.016 4.41689125543755 18.3588270817253 NA NA NA NA
"5" 0.0165 4.34282004096315 17.7107208933297 NA NA NA NA
"6" 0.017 4.27180288989668 17.0996395966715 NA NA NA NA
"7" 0.0175 4.20363055685783 16.522503197407 NA NA NA NA
"8" 0.018 4.13811461959115 15.9766045477518 NA NA NA NA
"9" 0.0185 4.07507749935994 15.45944833504 NA NA NA NA
"10" 0.019 4.01239776186967 14.9492118202149 NA NA NA NA
"11" 0.019 4.01134360857684 14.8997359196757 NA NA NA NA
"12" 0.02 3.89928917360416 14.0590791989338 NA NA NA NA
"13" 0.021 3.79192699334677 13.2341663052139 NA NA NA NA
"14" 0.022 3.69139004433088 12.4825805661761 NA NA NA NA
"15" 0.023 3.59693254849063 11.7947945861191 NA NA NA NA
"16" 0.024 3.5079212812608 11.1629290203322 NA NA NA NA
"17" 0.025 3.4238089265786 10.5803345951026 NA NA NA NA
"18" 0.026 3.34411943509043 10.0413610105177 NA NA NA NA
"19" 0.027 3.26843628046124 9.5411757409604 NA NA NA NA
"20" 0.028 3.19639296759576 9.07562072654004 NA NA NA NA
"21" 0.029 3.12766529326724 8.64109801060396 NA NA NA NA
"22" 0.03 3.06196498516544 8.234477726668 NA NA NA NA
"23" 0.031 2.99903443255281 7.85302347748055 NA NA NA NA
"24" 0.032 2.93864228461884 7.49433135947243 NA NA NA NA
"25" 0.033 2.88057974741688 7.15627979959104 NA NA NA NA
"26" 0.034 2.82465744150201 6.83698799254326 NA NA NA NA
"27" 0.035 2.77070271035653 6.53478122290402 NA NA NA NA
"28" 0.036 2.71855729340094 6.24816174205934 NA NA NA NA
"29" 0.037 2.66807529428462 5.97578414395318 NA NA NA NA
"30" 0.038 2.61912137277999 5.71643434750902 NA NA NA NA
"31" 0.039 2.57156912326218 5.46901154939996 NA NA NA NA
"32" 0.04 2.52529957857524 5.23251253546445 NA NA NA NA
"33" 0.041 2.48019980066879 5.00601787999665 NA NA NA NA
"34" 0.042 2.43616151451698 4.78867962687046 NA NA NA NA
"35" 0.043 2.39307973095023 4.57971005864915 NA NA NA NA
"36" 0.044 2.35085130322623 4.37837117854582 NA NA NA NA
"37" 0.045 2.3093733481492 4.18396454617682 NA NA NA NA
"38" 0.046 2.26854143325741 3.99582101271133 NA NA NA NA
"39" 0.046 NA NA 1.21526653782014 0.0578757279914293 1.19983328039705 0
"40" 0.046 2.26854273788504 3.99583171850964 1.21526653782014 0.0578757279914293 1.19982930860553 0
"41" 0.0465 2.24833538347961 3.90390377872023 1.22081118900389 0.0782953930482683 1.19982930890448 0
"42" 0.047 2.22824857866686 3.8132990670225 1.22647360328171 0.0989684534202352 1.19982930890447 0
"43" 0.0475 2.20826774222145 3.72393642167837 1.23226190054331 0.119924386708245 1.19982930890446 0
"44" 0.048 2.18837770265717 3.63573485135208 1.23818591980551 0.141197897028237 1.19982930890446 0
"45" 0.0485 2.16856252974966 3.54861232012393 1.24425555889934 0.162824011019167 1.19982930890447 0
"46" 0.049 2.14880537026364 3.46248513103149 1.25048183274071 0.18484136784744 1.19982930890448 0
"47" 0.0495 2.12908825129188 3.37726720764078 1.25687838153707 0.207296283487107 1.19982930890447 0
"48" 0.05 2.10939184349036 3.29286924669453 1.26345870305982 0.230235500206814 1.19982930890447 0
"49" 0.0505 2.08969517144108 3.20919770056586 1.27023890585944 0.253713756791748 1.19982930890446 0
"50" 0.051 2.06997525592992 3.12615353635785 1.27723742207992 0.277793370277358 1.19982930890447 0
"51" 0.0515 2.0502066662786 3.04363070158748 1.28447352569908 0.302539619050112 1.19982930890447 0
"52" 0.052 2.03036095278993 2.96151419387413 1.29197359235274 0.328039913594659 1.19982930890446 0
"53" 0.0525 2.01040591623956 2.87967759224734 1.29976461367854 0.354384761518417 1.19982930890446 0
"54" 0.053 1.99030465232311 2.79797984229212 1.30787852279984 0.381680895995547 1.1998293089045 0
"55" 0.0535 1.97001428000077 2.71626099183033 1.31635478021135 0.410059180796662 1.19982930890449 0
"56" 0.054 1.94948421339644 2.63433640676196 1.32523919366357 0.439672065508242 1.19982930890448 0
"57" 0.0545 1.92865375931164 2.55198873994717 1.33458967647643 0.470711110195597 1.19982930890447 0
"58" 0.055 1.90744868844933 2.46895647434967 1.34447683605195 0.503410402970777 1.19982930890445 0
"59" 0.0555 1.88577618371158 2.38491704367613 1.35499030166487 0.538067013316866 1.19982930890448 0
"60" 0.056 1.86351711977238 2.2994610263816 1.36624343749244 0.575057995135021 1.19982930890448 0
"61" 0.0565 1.84051371728612 2.21205085120834 1.37839145940676 0.614898340598029 1.19982930890449 0
"62" 0.057 1.8165486619611 2.12195089381449 1.3916496154529 0.65830322613536 1.19982930890447 0
"63" 0.0575 1.79130715063048 2.02810028675372 1.40632758070058 0.706304458226959 1.19982930890447 0
"64" 0.058 1.76430095199395 1.92885814593948 1.42292422287094 0.760565532720177 1.19982930890447 0
"65" 0.0585 1.73469434352835 1.82141887349569 1.44225152790111 0.823802676830387 1.19982930890446 0
"66" 0.059 1.70081169154338 1.70015587771161 1.46599385527358 0.901660075256244 1.19982930890447 0
"67" 0.061 NA NA NA NA 1.19982930890447 0
"68" 0.0615 NA NA NA NA 1.19982930890446 0
"69" 0.062 NA NA NA NA 1.19982930890446 0
"70" 0.0625 NA NA NA NA 1.1998293089045 0
"71" 0.063 NA NA NA NA 1.19982930890449 0
"72" 0.0635 NA NA NA NA 1.19982930890448 0
"73" 0.064 NA NA NA NA 1.19982930890447 0
"74" 0.0645 NA NA NA NA 1.19982930890445 0
"75" 0.065 NA NA NA NA 1.19982930890448 0
"76" 0.0655 NA NA NA NA 1.19982930890448 0
"77" 0.066 NA NA NA NA 1.19982930890449 0
"78" 0.0665 NA NA NA NA 1.19982930890447 0
"79" 0.067 NA NA NA NA 1.19982930890447 0
"80" 0.0675 NA NA NA NA 1.19982930890447 0
"81" 0.068 NA NA NA NA 1.19982930890446 0
"82" 0.0685 NA NA NA NA 1.19982930890447 0
"83" 0.069 NA NA NA NA 1.19982930890447 0
"84" 0.0695 NA NA NA NA 1.19982930890446 0
"85" 0.07 NA NA NA NA 1.19982930890446 0
