"sigma" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo" "eqhiS" "eqhiI" "eqloS" "eqloI"
"1" 0.01 2.07405534748681 3.26975780105994 1.28575319178062 0.583820901646854 1.06988659344331 0 0.940246496139915 0.473513168009904 0.400456801317115 2.79957325205592
"2" 0.01 2.07405534748681 3.26975780105994 1.28575319178062 0.583820901646854 1.06990567420832 0 0.940246496139915 0.473513168009904 0.400457009309583 2.79930442837352
"3" 0.015 2.07862983879459 3.27290237699892 1.28273077502082 0.540668429236279 1.09339544734825 0 0.940716631535826 0.471969126999212 0.400798994703564 2.49530084550249
"4" 0.02 2.08315660221998 3.2759685649512 1.27977727920773 0.497228490825901 1.11341091120963 0 0.94117642056354 0.470452141360244 0.401155539808128 2.27458789609823
"5" 0.025 2.08763709986885 3.27895922990092 1.27689202413394 0.453495710852089 1.13106635029078 0 0.941626254338981 0.468961268777396 0.401519064752828 2.10487597114975
"6" 0.03 2.09207272029343 3.28187708090878 1.27407462526866 0.409465608413339 1.1469984426958 0 0.942066502260627 0.467495616920359 0.401884747989432 1.96909076637125
"7" 0.035 2.09646478366348 3.28472468348909 1.27132327241958 0.365129915248304 1.16160778482303 0 0.942497513761908 0.466054339857962 0.402248582752659 1.85723244384857
"8" 0.04 2.10081454640549 3.28750446974408 1.26863774377516 0.320484466971733 1.17516398318108 0 0.942919619737436 0.464636634820498 0.402611094657316 1.76299745791102
"9" 0.045 2.10512320543432 3.29021874756654 1.26601619287189 0.27552074187455 1.18785795787368 0 0.943333133836864 0.463241739247523 0.402971638278601 1.68219009867048
"10" 0.05 2.10939190203768 3.29286970908646 1.26345907027071 0.230236312057422 1.19983033903933 0 0.943738353651862 0.461868928085296 0.403328402918997 1.61189520416613
"11" 0.055 2.11362172543421 3.29545943837494 1.2609645317954 0.184622565678045 1.21118789294406 0 0.944135561797738 0.460517511313066 0.403682621799941 1.5500122506973
"12" 0.06 2.11781371604869 3.29798991853231 1.25853255813214 0.13867603873032 1.22201395213273 0 0.94452502690807 0.459186831671623 0.404034330580049 1.49498594268194
"13" 0.065 2.12196886852306 3.30046303818377 1.25616202222956 0.0923892877787132 1.23237491546951 0 0.944907004545436 0.457876262577075 0.404382367882403 1.44563766965221
"14" 0.07 2.1260881344952 3.30288059745954 1.25385242200037 0.0457574848403853 1.24232467515022 0 0.945281738039338 0.45658520619976 0.40472693652687 1.40105338529945
"15" 0.075 2.13017242516365 3.30524431351177 1.25160330611026 0 1.25190736862484 0 0.945649459258719 0.455313091693742 0.405069048926625 1.36051281003347
"16" 0.08 2.13422261365676 3.30755582558124 -5 NA -1 0 0.946010389320773 0.454059373563244 NA NA
"17" 0.085 2.13823953722928 3.30981669971082 -5 NA -1 0 0.946364739250139 0.452823530151692 NA NA
"18" 0.09 2.14222399929503 3.31202843306718 -5 NA -1 0 0.946712710582595 0.451605062244518 NA NA
"19" 0.095 2.14617677131736 3.31419245797954 -5 NA -1 0 0.947054495929113 0.450403491773134 NA NA
"20" 0.1 2.15009859456294 3.31631014566186 -5 NA -1 0 0.947390279495175 0.449218360613493 NA NA
"21" 0.1 2.15009859456294 3.31631014566186 -5 NA -1 0 0.947390279495175 0.449218360613493 NA NA
"22" 0.11 2.15785221824314 3.32041170900863 -5 NA -1 0 0.94804453892085 0.446895676909819 NA NA
"23" 0.12 2.16549025636607 3.32434299638625 -5 NA -1 0 0.948676811942911 0.444633704358951 NA NA
"24" 0.13 2.17301770468311 3.32811310069803 -5 NA -1 0 0.949288314654726 0.442429391660094 NA NA
"25" 0.14 2.1804392081161 3.33173041575982 -5 NA -1 0 0.949880167471967 0.440279916593446 NA NA
"26" 0.15 2.1877590941585 3.33520270654046 -5 NA -1 0 0.950453404881157 0.438182663311981 NA NA
"27" 0.16 2.1949814025063 3.33853717086607 -5 NA -1 0 0.951008983994993 0.436135202351113 NA NA
"28" 0.17 2.20210991121621 3.34174049368151 -5 NA -1 0 0.951547792065764 0.434135273033955 NA NA
"29" 0.18 2.20914815987259 3.34481889488711 -5 NA -1 0 0.952070653100093 0.43218076793345 NA NA
"30" 0.19 2.2160994701987 3.34777817173939 -5 NA -1 0 0.95257833371502 0.430269719098902 NA NA
"31" 0.2 2.22296696441073 3.3506237364476 -5 NA -1 0 0.953071548323262 0.428400285820399 NA NA
"32" 0.21 2.22975358163435 3.353360649631 -5 NA -1 0 0.953550963741605 0.426570743720704 NA NA
"33" 0.22 2.23646209262491 3.35599365025987 -5 NA -1 0 0.954017203310246 0.424779475004733 NA NA
"34" 0.23 2.24309511299782 3.3585271823967 -5 NA -1 0 0.954470850566746 0.423024959721958 NA NA
"35" 0.24 2.24965511515155 3.36096541925315 -5 NA -1 0 0.954912452547508 0.421305767916192 NA NA
"36" 0.25 2.25614443902436 3.36331228473522 -5 NA -1 0 0.95534252273994 0.419620552559556 NA NA
"37" 0.26 2.26256530185361 3.36557147299787 -5 NA -1 0 0.95576154375983 0.417968043168804 NA NA
"38" 0.27 2.26891980700729 3.36774646598938 -5 NA -1 0 0.956169969749238 0.416347040036949 NA NA
"39" 0.28 2.27520995203121 3.36984054944091 -5 NA -1 0 0.956568228560251 0.414756408999518 NA NA
"40" 0.29 2.28143763596621 3.3718568273054 -5 NA -1 0 0.956956723723849 0.413195076684392 NA NA
"41" 0.3 2.28760466603347 3.37379823491432 -5 NA -1 0 0.957335836242101 0.411662026187119 NA NA
"42" 0.31 2.29371276374134 3.37566755094754 -5 NA -1 0 0.95770592621654 0.410156293129581 NA NA
"43" 0.32 2.29976357048794 3.37746740836804 -5 NA -1 0 0.958067334334186 0.408676962057984 NA NA
"44" 0.33 2.305758652692 3.37920030441461 -5 NA -1 0 0.958420383223777 0.407223163149798 NA NA
"45" 0.34 2.31169950651192 3.38086860972677 -5 NA -1 0 0.958765378692647 0.405794069195152 NA NA
"46" 0.35 2.31758756218821 3.38247457673621 -5 NA -1 0 0.959102610863023 0.404388892826446 NA NA
